vtkOriginalIndices,Heat[W/m^3],Points:0,Points:1,Points:2,__vtkIsSelected__
177,969107,0.111,0.0993423,0.0966954,0
178,1.26E+06,0.111,0.0994737,0.0970361,0
179,253816,0.111,0.107058,0.0939992,0
180,370025,0.111,0.106823,0.0949138,0
181,362176,0.111,0.107546,0.0949728,0
182,6.11E+06,0.111,0.0973104,0.0986679,0
183,7.78E+06,0.111,0.0989431,0.0988666,0
184,8.42E+06,0.111,0.0989973,0.0989458,0
185,8.40E+06,0.111,0.099013,0.0989412,0
186,720570,0.111,0.099182,0.103765,0
187,865508,0.111,0.0996879,0.103429,0
188,910023,0.111,0.0992993,0.103369,0
189,293797,0.111,0.115,0.1,0
190,3.85E+06,0.111,0.101207,0.0983515,0
191,2.55E+06,0.111,0.101445,0.0978866,0
192,3.33E+06,0.111,0.101565,0.098215,0
193,8.56E+06,0.111,0.0989892,0.0989551,0
194,6.17E+06,0.111,0.108601,0.0983422,0
195,4.88E+06,0.111,0.108551,0.0982384,0
196,5.58E+06,0.111,0.10854,0.0983124,0
197,295957,0.111,0.0861,0.096241,0
198,7.24E+06,0.111,0.0914696,0.0985914,0
199,6.53E+06,0.111,0.0917137,0.0985593,0
200,151655,0.111,0.098019,0.090088,0
201,585159,0.111,0.102044,0.0957749,0
202,1.45E+06,0.111,0.105568,0.0971309,0
203,1.32E+06,0.111,0.106261,0.0969863,0
204,991340,0.111,0.105816,0.0966385,0
205,542075,0.111,0.110378,0.0962162,0
206,602087,0.111,0.111213,0.0968403,0
207,508661,0.111,0.11046,0.0961247,0
208,600278,0.111,0.111216,0.096835,0
209,2.92E+06,0.111,0.100086,0.0980829,0
210,4.88E+06,0.111,0.100039,0.0985211,0
211,4.79E+06,0.111,0.100178,0.0985052,0
212,2.92E+06,0.111,0.100083,0.098082,0
213,380927,0.111,0.0968476,0.0948548,0
214,363249,0.111,0.097108,0.0947662,0
215,804446,0.111,0.10361,0.0963474,0
216,1.04E+06,0.111,0.103851,0.0967086,0
217,589853,0.111,0.107161,0.095735,0
218,966515,0.111,0.107152,0.0965051,0
219,677634,0.111,0.107562,0.0959833,0
220,3.17E+06,0.111,0.0908384,0.0978427,0
221,5.65E+06,0.111,0.0908801,0.0982775,0
222,5.54E+06,0.111,0.0911026,0.098263,0
223,1.65E+07,0.111,0.1075,0.1008,0
224,344794,0.111,0.0961504,0.105252,0
225,370131,0.111,0.0960042,0.105123,0
226,301123,0.111,0.0955564,0.105565,0
227,182887,0.111,0.097856,0.106804,0
228,208694,0.111,0.0981042,0.10638,0
229,229306,0.111,0.0979043,0.106169,0
230,496562,0.111,0.101105,0.104497,0
231,346566,0.111,0.100642,0.105234,0
232,386203,0.111,0.101297,0.105027,0
233,363305,0.111,0.100473,0.105157,0
234,1.38E+07,0.111,0.0945,0.0992,0
235,1.29E+07,0.111,0.09925,0.0992,0
236,629975,0.111,0.0889637,0.103223,0
237,1.49E+06,0.111,0.0893527,0.102407,0
238,3.13E+06,0.111,0.100738,0.098131,0
239,1.02E+06,0.111,0.104805,0.1033,0
240,1.18E+06,0.111,0.104877,0.103055,0
241,1.16E+06,0.111,0.104758,0.103086,0
242,516981,0.111,0.100614,0.104394,0
243,7.98E+06,0.111,0.101466,0.0989647,0
